page-links,page-links-href,title,authors,conference,link
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Empirical Exploration of Language Modeling for the google.com Query Stream as Applied to Mobile Voice Search,"Ciprian Chelba, Johan Schalkwyk","Mobile Speech and Advanced Natural Language Solutions, Springer Science+Business Media, New York (2013), pp. 197-229",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Visibility Based Preconditioning for Bundle Adjustment,"Avanish Kushal, Sameer Agarwal","IEEE Conference on Computer Vision and Pattern Recognition, IEEE (2012)",
General Science,http://research.google.com/pubs/GeneralScience.html,How is it done? A multinational survey of YouTube user satisfaction,Joshua Tabak,"University of Washington, Seattle, WA (2011)",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Detecting near-duplicates for web crawling,"Gurmeet Singh Manku, Arvind Jain, Anish Das Sarma","WWW 2007 (16th International Conference on the World Wide Web), ACM, Banff, pp. 141-150",/pubs/archive/33026.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Algorithmic Thermodynamics,"John Baez, Michael Stay","Mathematical Structures in Computer Science, vol. 22 (2012), pp. 771-787",/pubs/archive/39973.pdf
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,Fast and Scalable Decoding with Language Model Look-Ahead for Phrase-based Statistical Machine Translation,"Joern Wuebker, Hermann Ney, Richard Zens","Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics, Association for Computational Linguistics, Jeju, Republic of Korea (2012), pp. 28-32",/pubs/archive/40409.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Semantic Frame Identification with Distributed Word Representations,"Karl Moritz Hermann, Dipanjan Das, Jason Weston, Kuzman Ganchev",Proceedings of the 52th Annual Meeting of the Association for Computational Linguistics (2014),/pubs/archive/42245.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,System and method for determining active topics,Michael Jeffrey Procopio,Patent (2013),/pubs/archive/42182.pdf
Networking,http://research.google.com/pubs/Networking.html,Deadline-Aware Datacenter TCP (D2TCP),"Balajee Vamanan, Jahangir Hasan, T. N. Vijaykumar",Proceedings of the ACM SIGCOMM (2012),/pubs/archive/37678.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,CrowdLearner: Rapidly Creating Mobile Recognizers Using Crowdsourcing,"Shahriyar Amini, Yang Li","UIST'13: Proceedings of the 26th annual ACM symposium on User interface software and technology (2013), pp. 163-172",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Edge Splitting and Edmonds' Arborescence Construction for Unweighted Graphs,"Anand Bhalgat, Ramesh Hariharan, Telikepalli Kavitha, Debmalya Panigrahi","Proc. ACM-SIAM Symposium on Discrete Algorithms, SIAM, San Francisco (2008), pp. 455-464",
Data Management,http://research.google.com/pubs/DataManagement.html,Efficiently Evaluating Graph Constraints in Content-Based Publish/Subscribe,"Andrei Broder, Shirshanka Das, Marcus Fontoura, Bhaskar Ghosh, Vanja Josifovski, Jayavel Shanmugasundaram, Sergei Vassilvitskii",The 20th International World Wide Web Confererence (WWW 2011),/pubs/archive/37366.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Retrieval and Browsing of Spoken Content,"Ciprian Chelba, Timothy J. Hazen, Murat Saraclar","Signal Processing Magazine, IEEE, vol. 25 (2008), pp. 39-49",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Privacy-Preserving Information Markets for Computing Statistical Data,"Aggelos Kiayias, Bulent Yener, Moti Yung","Financial Cryptography and Data Security, Springer-Verlag, Berlin, Heidelberg (2009), pp. 32-50",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Learning with Global Cost in Stochastic Environments,"Eyal Even-Dar, Shie Mannor, Yishay Mansour",Proceedings of the 23rd Annual Conference on Learning Theory (COLT) (2010),/pubs/archive/36485.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Monitoring Algorithms for Negative Feedback Systems,"Mark Sandler, S. Muthukrishnan","WWW, ACM (2010), pp. 871-880",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Network Cournot Competition,"Melika Abolhasani, Mohammadhossein Bateni, MohammadTaghi Hajiaghayi, Hamid Mahini, Anshul Sawant","WINE, The 10th Conference on Web and Internet Economics (2014)",
Hardware and Architecture,http://research.google.com/pubs/HardwareandArchitecture.html,All Watts Considered,Luiz Andre Barroso,"Keynote address, International Symposium on Low Power Electronics and Design, ACM, Portland, OR (2007)",/pubs/archive/33340.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Clustering graphs by weighted substructure mining,"Koji Tsuda, Taku Kudo","Proceedings of the 23rd international conference on Machine learning, ACM (2006), pp. 953-960",/pubs/archive/32725.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Learning Bounds for Importance Weighting,"Corinna Cortes, Yishay Mansour, Mehryar Mohri","Advances in Neural Information Processing Systems (NIPS 2010), MIT Press, Vancouver, Canada",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Insulin Resistance: Regression and Clustering,Sangho Yoon,"PLoS ONE, vol. 9(6) (2014)",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,"Data Augmentation, Frequentist Estimation, and the Bayesian Analysis of Multinomial Logit Models",Steven L. Scott,"Statistical Papers, vol. 52 (2011), pp. 87-109",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Advisory on Internal Name Certificates,"Warren Kumari, Steve Crocker, Patrik Faltstrom, Ondrej Filip, James Galvin, Danny McPherson, Ram Mohan, Doron Shikmoni","ICANN SSAC Reports and Advisories, ICANN (Internet Corporation for Assigned Names and Numbers) (2013)",
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Warehouse-scale Computing: entering the teenage decade,Luiz Andre Barroso,Association for Computing Machinery (2011),
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Self-training with Products of Latent Variable Grammars,"Zhongqiang Huang, Mary Harper, Slav Petrov",Proceedings of the 2010 Conference on Empirical Methods on Natural Language Processing (EMNLP '10),/pubs/archive/36589.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,A Truthful Mechanism for Offline Ad Slot Scheduling,"Jon Feldman, S. Muthukrishnan, Evdokia Nikolova, Martin Pal",Symposium on Algorithmic Game Theory (2008),/pubs/archive/33374.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Multi-component Models for Object Detection,"Chunhui Gu, Pablo Arbelaez, Yuanqing Lin, Kai Yu, Jitendra Malik","European Conference on Computer Vision, Springer (2012), Volume 4, 445-458",/pubs/archive/40665.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,"Overlapping Experiment Infrastructure: More, Better, Faster Experimentation","Diane Tang, Ashish Agarwal, Deirdre O'Brien, Mike Meyer","Proceedings 16th Conference on Knowledge Discovery and Data Mining, ACM, Washington, DC (2010), pp. 17-26",/pubs/archive/36500.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,The Role of Queries in Ranking Labeled Instances Extracted from Text,Marius Pasca,"Proceedings of the 23rd International Conference on Computational Linguistics (COLING-2010), pp. 955-962",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,How to approximate optimal auctions,"Nima Haghpanah, Nicole Immorlica, Vahab S. Mirrokni, Kamesh Munagala","SIGecom Exchanges, vol. 11 (2012), pp. 30-33",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Large-scale Video Classification with Convolutional Neural Networks,"Andrej Karpathy, George Toderici, Sanketh Shetty, Thomas Leung, Rahul Sukthankar, Li Fei-Fei","Proceedings of International Computer Vision and Pattern Recognition (CVPR 2014), IEEE",/pubs/archive/42455.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,RACEZ: A Lightweight and Non-Invasive Race Detection Tool for Production Applications,"Tianwei Sheng, Neil Vachharajani, Stephane Eranian, Robert Hundt","ICSE, ACM (2011), pp. 401-410",/pubs/archive/37123.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Ordinal Regression Based Subpixel Shift Estimation for Video Super-Resolution,"Mithun Das Gupta, Shyamsundar Rajaram, Thomas S. Huang, Nemanja Petrovic","EURASIP Journal on Advances in Signal Processing, vol. 85963 (2007)",
General Science,http://research.google.com/pubs/GeneralScience.html,RFC7304 - A Method for Mitigating Namespace Collisions,Warren Kumari,"IETF RFCs, Internet Engineering Task Force (2014)",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Choose the Red Pill and the Blue Pill,"Ben Laurie, Abe Singer",New Security Paradigms Workshop 2008,
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Filtering: a method for solving graph problems in MapReduce.,"Silvio Lattanzi, Benjamin Moseley, Siddharth Suri, Sergei Vassilvitskii","SPAA 2011: Proceedings of the 23rd Annual ACM Symposium on Parallelism in Algorithms and Architectures, pp. 85-94",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Statistical Parametric Speech Synthesis,Heiga Zen,"UKSpeech Conference, Edinburgh, UK (2014)",/pubs/archive/42624.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Named Entity Transcription with Pair n-Gram Models,"Martin Jansche, Richard Sproat","2009 Named Entities Workshop: Shared Task on Transliteration (NEWS 2009), ACL-IJCNLP 2009, pp. 32-35",/pubs/archive/35254.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Small-Footprint Keyword Spotting using Deep Neural Networks,"Guoguo Chen, Carolina Parada, Georg Heigold","ICASSP, IEEE (2014)",/pubs/archive/42537.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Semi-Supervised Abstraction-Augmented String Kernel for Multi-Level Bio-Relation Extraction.,"Pavel Kuksa, Yanjun Qi, Bing Bai, Ronan Collobert, Jason Weston",ECML (2010),
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Building Web Apps for Google TV,"Amanda Surya, Andres Ferrate, Daniels Lee, Maile Ohye, Paul Carff, Shawn Shen, Steven Hines","o'Reilly Media, 1005 Gravenstein Hwy N Sebastopol, CA 95472 (2011), pp. 116",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Privacy protection and face recognition,"Andrew Senior, Sharat Pankanti","Handbook of Face recognition, Springer, 236 Gray's Inn Road | Floor 6 London | WC1X 8HL | UK (2011), pp. 671-692",/pubs/archive/36368.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,PageRank on an evolving graph,"Bahman Bahmani, Ravi Kumar, Mohammad Mahdian, Eli Upfal","KDD (2012), pp. 24-32",
General Science,http://research.google.com/pubs/GeneralScience.html,Entanglement in a Quantum Annealing Processor,"T. Lanting, A. J. Przybysz, A. Yu. Smirnov, F. M. Spedalieri, M. H. Amin, A. J. Berkley, R. Harris, F. Altomare, S. Boixo, P. Bunyk, N. Dickson, C. Enderud, J. P. Hilton, E. Hoskinson, M. W. Johnson, E. Ladizinsky, N. Ladizinsky, R. Neufeld, T. Oh, I. Perminov, C. Rich, M. C. Thom, E. Tolkacheva, S. Uchaikin, A. B. Wilson, G. Rose","Physical Review X, vol. 4 (2014), pp. 021041",/pubs/archive/42556.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,C# in Depth,Jon Skeet,"Manning, 20 Baldwin Road PO Box 261 Shelter Island, NY 11964 (2010), pp. 584",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Online Vertex-Weighted Bipartite Matching and Single-bid Budgeted Allocations,"Gagan Aggarwal, Gagan Goel, Chinmay Karande, Aranyak Mehta",Proceedings of ACM-SIAM Symposium on Discrete Algorithms (2011),/pubs/archive/36742.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Context-aware querying for multimodal search engines,"Jonas Etzold, Arnaud Brousseau, Paul Grimm, Thomas Steiner","Proceedings of the 18th international conference on Advances in Multimedia Modeling, Springer-Verlag, Berlin, Heidelberg (2012), pp. 728-739",/pubs/archive/38201.pdf
Networking,http://research.google.com/pubs/Networking.html,"Monkey See, Monkey Do: A Tool for TCP Tracing and Replaying","Yu-Chung Cheng, Urs Holzle, Neal Cardwell, Stefan Savage, Geoffrey M. Voelker","USENIX Annual Technical Conference, General Track (2004)",/pubs/archive/24165.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,A Web-Based Tool for Developing Multilingual Pronunciation Lexicons,"Samantha Ainsley, Linne Ha, Martin Jansche, Ara Kim, Masayuki Nanzawa","12th Annual Conference of the International Speech Communication Association (Interspeech 2011), pp. 3331-3332",/pubs/archive/38078.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Video Description Length Guided Constant Quality Video Coding with Bitrate Constraint,"Lei Yang, Debargha Mukherjee, Dapeng Wu","Multimedia and Expo Workshops (ICMEW), 2012 IEEE International Conference on, IEEE, 2001 L Street, NW. Suite 700 Washington, DC 20036-4910 USA, pp. 366-371",/pubs/archive/40346.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Controlling Complexity in Part-of-Speech Induction,"Joao Graca, Kuzman Ganchev, Luisa Coheur, Fernando Pereira, Ben Taskar","Journal of Artificial Intelligence Research (JAIR), vol. 41 (2011), pp. 527-551",/pubs/archive/38280.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Positive Results for Mechanism Design without Money,"Richard Cole, Vasilis Gkatzelis, Gagan Goel",AAMAS (2013),/pubs/archive/42186.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,SAC063: SSAC Advisory on DNSSEC Key Rollover in the Root Zone,"Warren Kumari, Russ Mundy, Matt Larson, Jaap Akkerhuis","ICANN SSAC Reports and Advisories, ICANN (2013)",/pubs/archive/42949.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Efficient and secure authenticated key exchange using weak passwords,"Jonathan Katz, Rafail Ostrovsky, Moti Yung","J. ACM, vol. 57 (2009), pp. 1-39",
Hardware and Architecture,http://research.google.com/pubs/HardwareandArchitecture.html,The Datacenter as a Computer: An Introduction to the Design of Warehouse-Scale Machines,"Luiz Andre Barroso, Urs Holzle",Morgan & Claypool Publishers (2009),
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Building Useful Program Analysis Tools Using an Extensible Java Compiler,"Edward Aftandilian, Raluca Sauciuc, Siddharth Priya, Sundaresan Krishnan","International Working Conference on Source Code Analysis and Manipulation (SCAM), IEEE (2012), pp. 14-23",/pubs/archive/38275.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Frame by Frame Language Identification in Short Utterances using Deep Neural Networks,"Javier Gonzalez-Dominguez, Ignacio Lopez-Moreno, Pedro J. Moreno, Joaquin Gonzalez-Rodriguez",Neural Networks Special Issue: Neural Network Learning in Big Data (2014),/pubs/archive/42929.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,On the Impact of Kernel Approximation on Learning Accuracy,"Corinna Cortes, Mehryar Mohri, Ameet Talwalkar",Thirteenth International Conference on Artificial Intelligence and Statistics (AISTATS 2010),/pubs/archive/36469.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Can matrix coherence be efficiently and accurately estimated?,"Mehryar Mohri, Ameet Talwalkar",Thirteenth International Conference on Artificial Intelligence and Statistics (AISTATS 2011),/pubs/archive/37627.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Thwarting Fake OSN Accounts by Predicting their Victims,"Yazan Boshmaf, Matei Ripeanu, Konstantin Beznosov, Elizeu Santos-Neto","AI-Sec'2015, ACM (to appear)",/pubs/archive/43862.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Approximate Shortest Descending Paths,"Siu-Wing Cheng, Jiongxin Jin","SIAM Journal on Computing, vol. 43 (2014), pp. 410-428",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Cross Platform Network Access Control,Paul (Tony) Watson,"RVASec 2013, RVASec 2013, RIchmond, VA",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Plan 9 Authentication in Linux,Ashwin Ganti,"ACM SIGOPS OSR special issue on Research and Developments in the Linux Kernel, vol. 42, Issue 5 (July 2008) (2008)",/pubs/archive/34433.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Detecting Ads in Video Streams using Acoustic and Visual Cues,"Michele Covell, Shumeet Baluja, Michael Fink","Computer Magazine (2006), pp. 135-137",/pubs/archive/41141.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Automatic and Versatile Publications Ranking for Research Institutions and Scholars,"Jie Ren, Richard N. Taylor","Communications of the ACM, vol. 50, no. 6 (2007), pp. 81-85",/pubs/archive/33018.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Great Question! Question Quality in Community Q&A,"Sujith Ravi, Bo Pang, Vibhor Rastogi, Ravi Kumar",International AAAI Conference on Weblogs and Social Media (ICWSM) (2014),/pubs/archive/42287.pdf
Education Innovation,http://research.google.com/pubs/EducationInnovation.html,Cluster Computing for Web-Scale Data Processing,"Aaron Kimball, Sierra Michels-Slettvet, Christophe Bisciglia","Proceedings of the 39th SIGCSE Technical Symposiumo on Computer Science Education, ACM, Portland, OR (2008), pp. 116-120",
General Science,http://research.google.com/pubs/GeneralScience.html,SAC070 - SSAC Advisory on the Use of Static TLD / Suffix Lists,"Warren Kumari, Jaap Akkerhuis, Patrik Faltstrom","ICANN SSAC Reports and Advisories, ICANN (2015), pp. 32 (to appear)",/pubs/archive/43821.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Estimating Word-Stability During Incremental Speech Recognition,"Ian McGraw, Alexander Gruenstein",Interspeech (2012),/pubs/archive/40463.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Authentication at Scale,"Eric Grosse, Mayank Upadhyay","IEEE Security and Privacy, vol. 11 (2013), pp. 15-22",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Web Coverage in the UK and its Potential Impact on General Population Web Surveys,Mario Callegaro,"Web surveys for the general population: How, why and when?, 25-26 February 2013. Institute of Education, London (2013)",
Networking,http://research.google.com/pubs/Networking.html,Wireless Techniques in Optical Transport,Cedric F. Lam,Proceedings of the 14th Optoelectronics and Communications Conference (2009),
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Budget-Constrained Auctions with Heterogeneous Items,"Sayan Bhattacharya, Gagan Goel, Sreenivas Gollapudi, Kamesh Munagala","Theory of Computing, vol. 8 (2012), pp. 429-460",/pubs/archive/38395.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Large Scale Visual Semantic Extraction,Samy Bengio,"Frontiers of Engineering - Reports on Leading-Edge Engineering from the 2011 Symposium, The National Academies Press, Washington, D.C. (2012), pp. 61-68",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Beyond Pinch and Flick: Enriching Mobile Gesture Interaction,Yang Li,"IEEE Comuter, vol. 42 (2009), pp. 87-89",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,"Trust, transparency & control in inferred user interest models","Sebastian Schnorf, Martin Ortlieb, Nikhil Sharma","CHI '14 Extended Abstracts on Human Factors in Computing Systems, ACM, New York, NY, USA (2014), pp. 2449-2454",/pubs/archive/42486.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Web-scale extraction of structured data.,"Michael Cafarella, Jayant Madhavan, Alon Halevy","SIGMOD Record, vol. 37(4) (2008), pp. 55-61",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Perfect Reconstructability of Control Flow from Demand Dependence Graphs,"Helge Bahmann, Nico Reissmann, Magnus Jahre, Jan Christian Meyer",Transactions on Architecture and Code Optimization (2014) (to appear),/pubs/archive/43246.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,New cached-sufficient statistics algorithms for quickly answering statistical questions,Andrew Moore,"Proc. 12th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, ACM, Philadelphia, PA (2006), pp. 2",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,2nd international workshop on user evaluations for software engineering researchers (USER),"Andrew Begel, Caitlin Sadowski",International Conference on Software Engineering (ICSE) (2013),
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Online Stochastic Packing Applied to Display Ad Allocation,"Jon Feldman, Monika Henzinger, Nitish Korula, Vahab S. Mirrokni, Clifford Stein","ESA (1) (2010), pp. 182-194",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,De Bruijn Sequences Revisited,"Lila Kari, Zhi Xu","International Journal of Foundations of Computer Science, vol. 23 (2012), pp. 1307-1322",
Networking,http://research.google.com/pubs/Networking.html,Network Utilization: The Flow View,"Avinatan Hassidim, Danny Raz, Michal Segalov, Ariel Shaqed (Scolnicov)","IEEE INFOCOM 2013, IEEE, Turin, Italy",/pubs/archive/41315.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,"Mining the Web to Determine Similarity Between Words, Objects, and Communities",Mehran Sahami,Proceedings of the 19th International FLAIRS Conference (FLAIRS-2006),/pubs/archive/33.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,"Baby Steps: How Less is More"" in Unsupervised Dependency Parsing""","Valentin I. Spitkovsky, Hiyan Alshawi, Daniel Jurafsky","NIPS 2009 Workshop on Grammar Induction, Representation of Language and Language Learning",/pubs/archive/36394.pdf
Education Innovation,http://research.google.com/pubs/EducationInnovation.html,Gender Differences in High School Students' Decisions to Study Computer Science and Related Fields,"Hai Hong, Jennifer Wang, Jason Ravitz, Mo-Yun Lei Fong","Proceedings of the 46th ACM Technical Symposium on Computer Science Education, ACM (2015)",/pubs/archive/43401.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Mining Subjective Properties on the Web,"Immanuel Trummer, Alon Halevy, Hongrae Lee, Sunita Sarawagi, Rahul Gupta",SIGMOD (2015) (to appear),
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Design of user interfaces for selective editing of digital photos on touchscreen devices,"Thomas Binder, Meikel Steiding, Manuel Wille, Nils Kokemohr","Proceedings SPIE 8667 (Multimedia Content and Mobile Devices), SPIE (2013)",/pubs/archive/41338.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,A New ELF Linker,Ian Lance Taylor,Proceedings of the GCC Developers' Summit (2008),/pubs/archive/34417.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Acquisition of Categorized Named Entities for Web Search,Marius Pasca,"Proceedings of the 13th ACM Conference on Information and Knowledge Management (CIKM-04), Washington, D.C. (2004), pp. 137-145",/pubs/archive/74.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Emotional Memory and Adaptive Personalities,"Anthony Francis, Manish Mehta, Ashwin Ram","Handbook of Synthetic Emotions and Sociable Robotics, Information Science Reference, an imprint of IGI Global, www.info-sci-ref.com (2009), pp. 391-412",
Data Mining,http://research.google.com/pubs/DataMining.html,Large-scale community detection on YouTube for Topic Discovery and Exploration,"Ullas Gargi, Wenjun Lu, Vahab Mirrokni, Sangho Yoon",AAAI Conference on Weblogs and Social Media 2011,/pubs/archive/36923.pdf
Networking,http://research.google.com/pubs/Networking.html,Silicon Photonics for Optical Access Networks,"Ryohei Urata, Hong Liu, Cedric Lam, Pedram Dashti, Chris Johnson","Group IV Photonics, IEEE, Washington DC (2012), pp. 3",/pubs/archive/39960.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Verifying Cloud Services: Present and Future,"Sara Bouchenak, Gregory Chockler, Hana Chockler, Gabriela Gheorghe, Nuno Santos, Alexander Shraer",Operating Systems Review (2013),/pubs/archive/40816.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,MapReduce: Simplified Data Processing on Large Clusters,"Jeffrey Dean, Sanjay Ghemawat","Communications of the ACM, vol. 51, no. 1 (2008), pp. 107-113",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Long Short-Term Memory Language Models with Additive Morphological Features for Automatic Speech Recognition,"Daniel Renshaw, Keith B. Hall","IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP) (2015)",/pubs/archive/43335.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Semantics-driven sensor configuration for energy reduction in medical sensor networks,"James Wendt, Saro Meguerdichian, Hyduke Noshadi, Miodrag Potkonjak","Proceedings of the 2012 ACM/IEEE international symposium on Low power electronics and design, ACM, pp. 303-308",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Skip-gram Language Modeling Using Sparse Non-negative Matrix Probability Estimation,"Noam M. Shazeer, Joris Pelemans, Ciprian Chelba",Google (2014),/pubs/archive/43222.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,How Visualization Layout Relates to Locus of Control and Other Personality Factors,"Caroline Ziemkiewicz, Alvitta Ottley, R. Jordan Crouser, Ashely Rye Yauilla, Ashely Rye Yauilla, Sara L. Su, William Ribarsky, Remco Chang","IEEE Transactions on Visualization and Computer Graphics, vol. 19 (2013)",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Context-Dependent Fine-Grained Entity Type Tagging,"Dan Gillick, Nevena Lazic, Kuzman Ganchev, Jesse Kirchner, David Huynh",arXiv.org (2014),/pubs/archive/43240.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Distributed Electronic Rights in JavaScript,"Mark S. Miller, Tom Van Cutsem, Bill Tulloh","ESOP'13 22nd European Symposium on Programming, Springer (2013)",/pubs/archive/40673.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,You Are What You Emote: Emotional Facial Expressions Impact Sexual Orientation Judgments,"Joshua Tabak, Sapna Cheryan","In the symposium, Beyond Right/Wrong: Novel Approaches to Understanding Accuracy and Consensus in Social Perception, chairs: Joshua A. Tabak and David J. Lick, 25th Annual Convention of the Association for Psychological Science, Washington, D.C. (2013)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Affinity Weighted Embedding,"Jason Weston, Ron Weiss, Hector Yee",International Conference on Learning Representations (2013),/pubs/archive/41108.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Acoustic Modeling in Statistical Parametric Speech Synthesis - From HMM to LSTM-RNN,Heiga Zen,Proc. MLSLP (2015) (to appear),/pubs/archive/43893.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,How well does result relevance predict session satisfaction?,"Scott B. Huffman, Michael Hochster","Proceedings of the 30th annual international ACM SIGIR, ACM, Amsterdam (2007), pp. 567-574",
